1,647
0,813
0,864
1,062
2,103
1,928
1,849
1,155
1,805
1,115
1,67
1,934
2,012
1,571
2,126
1,139
1,549
1,985
1,463
0,843
0,86
0,807
0,833
0,882
2,056
1,46
1,237
1,789
1,545
1,665
1,947
1,872
2,107
1,195
1,543
1,114
1,388
1,281
1,573
1,098
1,937
0,84
1,487
1,695
1,727
1,491
1,103
0,878
1,768
2,076
1,506
0,944
2,122
0,878
1,845
1,39
1,88
1,683
1,236
2,011
0,953
1,878
1,031
0,859
1,952
1,384
1,302
1,777
1,905
1,216
0,968
1,213
1,239
1,169
1,237
1,833
1,2
1,307
1,227
0,858
0,861
0,952
1,075
1,908
1,804
1,658
1,565
1,573
1,378
1,934
1,829
1,74
1,894
2,139
0,987
0,892
2,059
1,259
1,692
1,576
1,83
1,067
1,092
1,899
1,253
1,411
0,914
1,334
1,886
0,942
1,507
1,807
1,168
1,792
2,057
1,351
0,887
1,535
2,059
1,848
1,39
1,469
1,95
0,905
2,055
1,224
1,332
1,638
1,111
1,884
1,702
0,933
1,195
1,38
1,806
1,667
1,404
1,483
1,567
1,171
2,141
1,069
1,365
1,381
1,869
1,774
2,026
1,175
1,644
1,257
1,255
1,906
0,98
0,809
2,071
1,485
0,855
1,792
0,927
1,817
0,881
2,002
1,174
1,694
1,213
1,767
1,512
1,391
1,494
1,971
1,568
1,821
1,055
0,84
1,292
1,875
1,206
0,925
1,354
0,899
1,169
1,465
2,137
1,249
1,893
1,391
1,62
0,942
0,901
0,986
2,117
0,974
1,202
1,44
2,144
1,855
1,906
2
1,976
1,49
2,136
1,963
1,721
1,754
1,942
1,758
1,1
1,833
1,54
0,94
1,331
2,011
0,855
0,971
1,488
1,854
0,925
1,642
0,982
0,899
1,285
0,896
1,963
2,01
1,261
2,092
1,63
1,92
2,04
1,981
1,619
2,045
1,997
1,813
0,948
1,288
0,947
1,255
1,002
1,883
1,741
1,694
1,821
1,863
1,712
1,303
0,805
1,937
0,997
2,109
1,945
1,035
1,35
1,774
1,954
1,975
1,256
1,108
0,917
1,027
0,86
1,655
0,858
1,052
1,442
1,965
1,655
1,796
1,498
1,334
0,897
2,129
2,016
1,076
2,113
1,571
2,064
1,622
1,172
1,521
1,299
1,538
1,94
1,997
1,654
1,436
1,854
0,863
2,017
1,565
1,621
2,014
1,038
1,228
0,852
1,067
1,978
1,69
1,762
1,547
2,02
1,276
1,571
1,579
1,345
2,15
1,473
1,379
1,307
1,254
0,838
2,02
1,754
1,07
1,749
0,907
0,902
0,907
2,005
1,849
0,956
0,913
2,052
1,785
1,141
1,858
1,509
0,875
1,799
2,12
1,762
1,376
2,039
1,824
1,335
2,073
1,837
1,002
2,031
1,974
1,743
1,504
2,108
1,859
1,953
1,169
2,072
0,896
1,505
1,847
0,914
1,343
1,815
1,683
0,826
1,353
1,242
1,35
1,31
1,226
1,137
1,559
1,301
1,266
1,309
1,414
1,074
1,416
1,597
0,878
1,571
0,947
1,83
2,127
1,092
1,638
1,289
1,017
2,104
1,809
1,762
0,865
1,262
1,413
1,168
1,84
1,307
1,112
1,675
1,797
1,353
1,063
2,074
1,903
2,125
1,336
1,508
1,305
1,167
2,034
1,949
1,963
1,653
1,805
1,411
1,841
1,576
2,142
0,882
2,141
2,115
1,207
1,434
1,39
2,101
2,119
1,859
2,133
0,872
1,155
1,928
1,076
1,877
1,285
1,665
1,852
2,043
1,605
1,156
1,978
0,814
1,246
1,636
0,801
2,073
1,353
1,904
1,559
1,1
2,079
1,77
1,021
0,933
1,862
1,605
2,003
1,621
1,325
1,165
1,933
1,113
1,589
1,316
0,829
1,544
1,476
1,686
1,242
1,373
0,835
1,976
1,416
2,116
1,66
1,807
0,967
1,055
1,935
1,828
1,177
2,096
1,677
1,27
0,865
1,858
1,551
1,602
1,468
1,793
1,655
2,134
1,195
1,474
1,547
1,143
1,085
1,482
1,677
1,206
1,716
2,03
1,412
1,622
1,214
1,927
1,623
1,896
1,325
1,506
2,034
